SUBJECT,TRIAL,REACTION_TIME,CORRECT,TYPE_OF_TASK
IDU008,76,341,1,0
IDU008,77,332,1,0
IDU008,1,1195,1,1
IDU008,2,1123,1,1
IDU008,3,1416,1,1
IDU008,4,924,1,1
IDU008,5,968,1,1
IDU008,6,1007,1,1
IDU008,7,861,1,1
IDU008,8,935,1,1
IDU008,9,902,1,1
IDU008,10,1063,1,1
IDU008,11,944,1,1
IDU008,12,969,1,1
IDU008,13,937,1,1
IDU008,14,806,1,1
IDU008,15,905,1,1
IDU008,16,1116,1,1
IDU008,17,833,1,1
IDU008,18,914,1,1
IDU008,19,778,1,1
IDU008,20,1010,1,1
IDU008,21,894,1,1
IDU008,22,797,1,1
IDU008,23,947,1,1
IDU008,24,1512,1,1
IDU008,1,500,-1,2
IDU008,1,1135,-1,4
IDU008,1,1635,-1,5
IDU008,2,800,-1,2
IDU008,2,568,-1,4
IDU008,2,1368,-1,5
IDU008,2,233,-1,3
IDU008,3,567,-1,2
IDU008,3,1001,-1,4
IDU008,3,1568,-1,5
IDU008,4,667,-1,2
IDU008,4,1234,-1,4
IDU008,4,1901,-1,5
IDU008,4,167,-1,3
IDU008,5,767,-1,2
IDU008,5,467,-1,4
IDU008,5,1234,-1,5
IDU008,5,267,-1,3
IDU008,6,634,-1,2
IDU008,6,1634,-1,4
IDU008,6,2268,-1,5
IDU008,6,300,-1,3
IDU008,7,601,-1,2
IDU008,7,2268,-1,4
IDU008,7,2869,-1,5
IDU008,7,167,-1,3
IDU008,8,834,-1,2
IDU008,8,1068,-1,4
IDU008,8,1902,-1,5
IDU008,8,200,-1,3
IDU008,9,934,-1,2
IDU008,9,1235,-1,4
IDU008,9,2169,-1,5
IDU008,9,200,-1,3
IDU008,10,733,-1,2
IDU008,10,1167,-1,4
IDU008,10,1900,-1,5
IDU008,10,233,-1,3
IDU008,11,534,-1,2
IDU008,11,1234,-1,4
IDU008,11,1768,-1,5
IDU008,12,800,-1,2
IDU008,12,867,-1,4
IDU008,12,1667,-1,5
IDU008,13,601,-1,2
IDU008,13,1067,-1,4
IDU008,13,1668,-1,5
IDU008,13,266,-1,3
IDU008,14,568,-1,2
IDU008,14,1801,-1,4
IDU008,14,2369,-1,5
IDU008,14,233,-1,3
IDU008,15,667,-1,2
IDU008,15,1301,-1,4
IDU008,15,1968,-1,5
IDU008,15,233,-1,3
IDU008,16,934,-1,2
IDU008,16,1234,-1,4
IDU008,16,2168,-1,5
IDU008,16,367,-1,3
IDU008,17,600,-1,2
IDU008,17,2201,-1,4
IDU008,17,2801,-1,5
IDU010,1,418,1,0
IDU010,2,-1,1,0
IDU010,3,335,1,0
IDU010,4,481,1,0
IDU010,5,369,1,0
IDU010,6,-1,1,0
IDU010,7,265,1,0
IDU010,8,381,1,0
IDU010,9,363,1,0
IDU010,10,330,1,0
IDU010,11,-1,1,0
IDU010,12,280,1,0
IDU010,13,346,1,0
IDU010,14,347,1,0
IDU010,15,304,1,0
IDU010,16,-1,1,0
IDU010,17,270,1,0
IDU010,18,361,1,0
IDU010,19,-1,1,0
IDU010,20,333,1,0
IDU010,21,308,1,0
IDU010,22,-1,1,0
IDU010,23,265,1,0
IDU010,24,344,1,0
IDU010,25,329,1,0
IDU010,26,-1,1,0
IDU010,27,233,1,0
IDU010,28,283,1,0
IDU010,29,321,1,0
IDU010,30,247,1,0
IDU010,31,291,1,0
IDU010,32,370,1,0
IDU010,33,325,1,0
IDU010,34,-1,1,0
IDU010,35,336,1,0
IDU010,36,257,1,0
IDU010,37,324,1,0
IDU010,38,293,1,0
IDU010,39,305,1,0
IDU010,40,279,1,0
IDU010,41,250,1,0
IDU010,42,292,1,0
IDU010,43,-1,1,0
IDU010,44,251,1,0
IDU010,45,230,0,0
IDU010,46,392,1,0
IDU010,47,-1,1,0
IDU010,48,265,1,0
IDU010,49,-1,1,0
IDU010,50,272,1,0
IDU010,51,319,1,0
IDU010,52,-1,1,0
IDU010,53,0,1,0
IDU010,54,449,1,0
IDU010,55,-1,1,0
IDU010,56,297,1,0
IDU010,57,323,1,0
IDU010,58,324,1,0
IDU010,59,319,1,0
IDU010,60,-1,1,0
IDU010,61,318,1,0
IDU010,62,-1,1,0
IDU010,63,291,1,0
IDU010,64,290,1,0
IDU010,65,311,1,0
IDU010,66,283,1,0
IDU010,67,316,1,0
IDU010,68,335,1,0
IDU010,69,321,1,0
IDU010,70,324,1,0
IDU010,71,-1,1,0
IDU010,72,272,1,0
IDU010,73,403,1,0
IDU010,74,279,1,0
IDU010,75,266,1,0
IDU010,76,255,1,0
IDU010,77,329,1,0
IDU010,1,814,1,1
IDU010,2,836,1,1
IDU010,3,741,1,1
IDU010,4,765,1,1
IDU010,5,1510,1,1
IDU010,6,750,1,1
IDU010,7,769,1,1
IDU010,8,673,1,1
IDU010,9,771,1,1
IDU010,10,717,1,1
IDU010,11,876,1,1
IDU010,12,805,1,1
IDU010,13,820,1,1
IDU010,14,814,1,1
IDU010,15,593,1,1
IDU010,16,489,1,1
IDU010,17,808,1,1
IDU010,18,702,1,1
IDU010,19,469,1,1
IDU010,20,935,1,1
IDU010,21,490,1,1
IDU010,22,588,1,1
IDU010,23,771,1,1
IDU010,24,641,1,1
IDU010,1,800,-1,2
IDU010,1,2369,-1,4
IDU010,1,3169,-1,5
IDU010,2,0,-1,2
IDU010,2,2202,-1,4
IDU010,2,2202,-1,5
IDU010,2,667,-1,3
IDU010,3,0,-1,2
IDU010,3,2435,-1,4
IDU010,3,2435,-1,5
IDU010,3,533,-1,3
IDU010,4,734,-1,2
IDU010,4,3136,-1,4
IDU010,4,3870,-1,5
IDU010,4,300,-1,3
IDU010,5,1067,-1,2
IDU010,5,2702,-1,4
IDU010,5,3769,-1,5
IDU010,5,467,-1,3
IDU010,6,734,-1,2
IDU010,6,3136,-1,4
IDU010,6,3870,-1,5
IDU010,6,533,-1,3
IDU010,7,667,-1,2
IDU010,7,3168,-1,4
IDU010,7,3835,-1,5
IDU010,8,934,-1,2
IDU010,8,2301,-1,4
IDU010,8,3235,-1,5
IDU010,8,200,-1,3
IDU010,9,734,-1,2
IDU010,9,2902,-1,4
IDU010,9,3636,-1,5
IDU010,9,234,-1,3
IDU010,10,800,-1,2
IDU010,10,2901,-1,4
