SUBJECT,TRIAL,WORD,COLOR,CONGRUENT,ANSWER,CORRECT,REACTION TIME,TIMESTAMP
IDU038,19,VERDE,BLU,0,b,1,1108,1728484090093
IDU038,23,ROSSO,VERDE,0,v,1,1295,1728484096266
IDU040,2,VERDE,GIALLO,0,g,1,1886,1730392033692
IDU040,3,GIALLO,BLU,0,b,1,1204,1730392035420
IDU040,4,ROSSO,BLU,0,b,1,952,1730392036895
IDU040,5,BLU,ROSSO,0,r,1,1391,1730392038811
IDU040,7,BLU,VERDE,0,v,1,1760,1730392042943
IDU040,8,GIALLO,ROSSO,0,r,1,1270,1730392044738
IDU040,9,ROSSO,GIALLO,0,g,1,1143,1730392046405
IDU040,10,VERDE,ROSSO,0,r,1,1798,1730392048727
IDU040,11,BLU,GIALLO,0,g,1,1446,1730392050697
IDU040,12,ROSSO,VERDE,0,v,1,1201,1730392052422
IDU040,13,VERDE,BLU,0,b,1,1802,1730392054747
IDU040,20,GIALLO,VERDE,0,v,1,1207,1730392067131
