SUBJECT,TRIAL,WORD,COLOR,CONGRUENT,ANSWER,CORRECT,REACTION TIME,TIMESTAMP
IDU038,17,ROSSO,ROSSO,1,r,1,1249,1728484086597
IDU038,18,ROSSO,BLU,0,b,1,1341,1728484088462
IDU038,19,VERDE,BLU,0,b,1,1108,1728484090093
IDU038,20,BLU,BLU,1,b,1,806,1728484091423
IDU038,21,ROSSO,ROSSO,1,r,1,1246,1728484093193
IDU038,22,ROSSO,ROSSO,1,r,1,727,1728484094446
IDU038,23,ROSSO,VERDE,0,v,1,1295,1728484096266
IDU038,24,GIALLO,GIALLO,1,g,1,941,1728484097731
IDU040,1,ROSSO,ROSSO,1,r,1,1107,1730392031283
IDU040,2,VERDE,GIALLO,0,g,1,1886,1730392033692
IDU040,3,GIALLO,BLU,0,b,1,1204,1730392035420
IDU040,4,ROSSO,BLU,0,b,1,952,1730392036895
IDU040,5,BLU,ROSSO,0,r,1,1391,1730392038811
IDU040,6,GIALLO,GIALLO,1,g,1,1324,1730392040660
IDU040,7,BLU,VERDE,0,v,1,1760,1730392042943
IDU040,8,GIALLO,ROSSO,0,r,1,1270,1730392044738
IDU040,9,ROSSO,GIALLO,0,g,1,1143,1730392046405
IDU040,10,VERDE,ROSSO,0,r,1,1798,1730392048727
IDU040,11,BLU,GIALLO,0,g,1,1446,1730392050697
IDU040,12,ROSSO,VERDE,0,v,1,1201,1730392052422
IDU040,13,VERDE,BLU,0,b,1,1802,1730392054747
IDU040,14,VERDE,VERDE,1,v,1,2143,1730392057414
IDU040,15,ROSSO,ROSSO,1,r,1,1720,1730392059658
IDU040,16,ROSSO,ROSSO,1,r,1,846,1730392061028
IDU040,17,BLU,BLU,1,b,1,1030,1730392062582
IDU040,18,BLU,BLU,1,b,1,842,1730392063949
IDU040,19,GIALLO,GIALLO,1,g,1,929,1730392065401
IDU040,20,GIALLO,VERDE,0,v,1,1207,1730392067131
IDU040,21,GIALLO,GIALLO,1,g,1,1073,1730392068729
IDU040,22,VERDE,VERDE,1,v,1,971,1730392070224
IDU040,23,VERDE,VERDE,1,v,1,915,1730392071663
