SUBJECT,TRIAL,REACTION_TIME,CORRECT,TYPE_OF_TASK
IDU019,23,644,1,0
IDU019,24,466,1,0
IDU019,25,528,1,0
IDU019,26,443,1,0
IDU019,27,-1,1,0
IDU019,28,308,1,0
IDU019,29,362,1,0
IDU019,30,-1,1,0
IDU019,31,271,1,0
IDU019,32,377,1,0
IDU019,33,370,1,0
IDU019,34,359,1,0
IDU019,35,387,1,0
IDU019,36,372,1,0
IDU019,37,351,1,0
IDU019,38,366,1,0
IDU019,39,348,1,0
IDU019,40,344,1,0
IDU019,41,343,1,0
IDU019,42,-1,1,0
IDU019,43,305,1,0
IDU019,44,381,1,0
IDU019,45,-1,1,0
IDU019,46,266,1,0
IDU019,47,315,1,0
IDU019,48,326,1,0
IDU019,49,-1,1,0
IDU019,50,288,1,0
IDU019,51,322,1,0
IDU019,52,-1,1,0
IDU019,53,264,1,0
IDU019,54,414,1,0
IDU019,55,405,1,0
IDU019,56,-1,1,0
IDU019,57,294,1,0
IDU019,58,-1,1,0
IDU019,59,303,1,0
IDU019,60,-1,1,0
IDU019,61,302,1,0
IDU019,62,623,1,0
IDU019,63,-1,1,0
IDU019,64,363,1,0
IDU019,65,349,1,0
IDU019,66,375,1,0
IDU019,67,-1,1,0
IDU019,68,281,1,0
IDU019,69,339,1,0
IDU019,70,362,1,0
IDU019,71,376,1,0
IDU019,72,398,1,0
IDU019,73,369,1,0
IDU019,74,364,1,0
IDU019,75,-1,1,0
IDU019,76,337,1,0
IDU019,77,310,1,0
IDU021,1,403,1,0
IDU021,2,332,1,0
IDU021,3,428,1,0
IDU021,4,436,1,0
IDU021,5,550,1,0
IDU021,6,423,1,0
IDU021,7,432,1,0
IDU021,8,404,1,0
IDU021,9,466,1,0
IDU021,10,-1,1,0
IDU021,11,482,1,0
IDU021,12,395,1,0
IDU021,13,468,1,0
IDU021,14,418,1,0
IDU021,15,-1,1,0
IDU021,16,402,1,0
IDU021,17,482,1,0
IDU021,18,440,1,0
IDU021,19,340,1,0
IDU021,20,-1,1,0
IDU021,21,401,1,0
IDU021,22,-1,1,0
IDU021,23,424,1,0
IDU021,24,-1,1,0
IDU021,25,433,1,0
IDU021,26,477,1,0
IDU021,27,393,1,0
IDU021,28,406,1,0
IDU021,29,-1,1,0
IDU021,30,317,1,0
IDU021,31,-1,1,0
IDU021,32,355,1,0
IDU021,33,-1,1,0
IDU021,34,365,1,0
IDU021,35,403,1,0
IDU021,36,383,1,0
IDU021,37,361,1,0
IDU021,38,404,1,0
IDU021,39,397,1,0
IDU021,40,410,1,0
IDU021,41,446,1,0
IDU021,42,-1,1,0
IDU021,43,458,1,0
IDU021,44,396,1,0
IDU021,45,435,1,0
IDU021,46,419,1,0
IDU021,47,496,1,0
IDU021,48,549,1,0
IDU021,49,-1,1,0
IDU021,50,361,1,0
IDU021,51,446,1,0
IDU021,52,625,1,0
IDU021,53,454,1,0
IDU021,54,-1,1,0
IDU021,55,438,1,0
IDU021,56,386,1,0
IDU021,57,-1,1,0
IDU021,58,401,1,0
IDU021,59,369,1,0
IDU021,60,364,1,0
IDU021,61,365,1,0
IDU021,62,389,1,0
IDU021,63,-1,1,0
IDU021,64,350,1,0
IDU021,65,-1,1,0
IDU021,66,380,1,0
IDU021,67,-1,1,0
IDU021,68,420,1,0
IDU021,69,413,1,0
IDU021,70,390,1,0
IDU021,71,381,1,0
IDU021,72,372,1,0
IDU021,73,389,1,0
IDU021,74,-1,1,0
IDU021,75,495,1,0
IDU021,76,337,1,0
IDU021,77,-1,1,0
IDU024,1,579,1,0
IDU024,2,834,1,0
IDU024,3,490,1,0
IDU024,4,500,1,0
IDU024,5,543,1,0
IDU024,6,957,1,0
IDU024,7,487,1,0
IDU024,8,532,1,0
IDU024,9,-1,1,0
IDU024,10,403,1,0
IDU024,11,-1,1,0
IDU024,12,414,1,0
IDU024,13,432,1,0
IDU024,14,-1,1,0
IDU024,15,446,1,0
IDU024,16,509,1,0
IDU024,17,-1,1,0
IDU024,18,445,1,0
IDU024,19,495,1,0
IDU024,20,-1,1,0
IDU024,21,371,1,0
IDU024,22,415,1,0
IDU024,23,432,1,0
IDU024,24,-1,1,0
IDU024,25,495,1,0
IDU024,26,442,1,0
IDU024,27,436,1,0
IDU024,28,-1,1,0
IDU024,29,415,1,0
IDU024,30,-1,1,0
IDU024,31,375,1,0
IDU024,32,473,1,0
IDU024,33,455,1,0
IDU024,34,431,1,0
IDU024,35,454,1,0
IDU024,36,427,1,0
IDU024,37,429,1,0
IDU024,38,-1,1,0
IDU024,39,404,1,0
IDU024,40,442,1,0
IDU024,41,431,1,0
IDU024,42,391,1,0
IDU024,43,452,1,0
IDU024,44,453,1,0
IDU024,45,415,1,0
IDU024,46,427,1,0
IDU024,47,-1,1,0
IDU024,48,456,1,0
IDU024,49,-1,1,0
IDU024,50,405,1,0
IDU024,51,416,1,0
IDU024,52,-1,1,0
IDU024,53,565,1,0
IDU024,54,421,1,0
IDU024,55,-1,1,0
IDU024,56,454,1,0
IDU024,57,481,1,0
IDU024,58,406,1,0
IDU024,59,441,1,0
IDU024,60,451,1,0
IDU024,61,-1,1,0
IDU024,62,468,1,0
IDU024,63,448,1,0
IDU024,64,421,1,0
IDU024,65,447,1,0
IDU024,66,419,1,0
IDU024,67,-1,1,0
IDU024,68,590,1,0
IDU024,69,496,1,0
IDU024,70,502,1,0
IDU024,71,418,1,0
IDU024,72,495,1,0
IDU024,73,479,1,0
IDU024,74,467,1,0
IDU024,75,-1,1,0
IDU024,76,453,1,0
IDU024,77,-1,1,0
IDU025,1,333,1,0
IDU025,2,278,1,0
IDU025,3,284,1,0
IDU025,4,-1,1,0
IDU025,5,285,1,0
IDU025,6,301,1,0
IDU025,7,418,1,0
IDU025,8,295,1,0
IDU025,9,-1,1,0
IDU025,10,307,1,0
IDU025,11,264,1,0
IDU025,12,269,1,0
IDU025,13,356,1,0
IDU025,14,295,1,0
IDU025,15,263,1,0
IDU025,16,373,1,0
IDU025,17,244,0,0
IDU025,18,291,1,0
IDU025,19,359,1,0
IDU025,20,-1,1,0
IDU025,21,388,1,0
IDU025,22,273,1,0
IDU025,23,297,1,0
IDU025,24,265,0,0
IDU025,25,399,1,0
IDU025,26,299,1,0
IDU025,27,358,1,0
IDU025,28,350,1,0
IDU025,29,354,1,0
IDU025,30,391,1,0
IDU025,31,334,1,0
IDU025,32,308,1,0
IDU025,33,378,1,0
IDU025,34,-1,1,0
IDU025,35,360,1,0
IDU025,36,279,1,0
IDU025,37,313,1,0
IDU025,38,-1,1,0
IDU025,39,282,1,0
IDU025,40,-1,1,0
IDU025,41,365,1,0
IDU025,42,260,1,0
IDU025,43,300,1,0
IDU025,44,307,1,0
IDU025,45,259,1,0
IDU025,46,267,1,0
IDU025,47,-1,1,0
IDU025,48,273,1,0
IDU025,49,257,1,0
IDU025,50,265,1,0
IDU025,51,283,1,0
IDU025,52,283,1,0
IDU025,53,275,1,0
IDU025,54,301,1,0
IDU025,55,260,1,0
IDU025,56,309,1,0
IDU025,57,-1,1,0
IDU025,58,258,1,0
IDU025,59,265,1,0
IDU025,60,256,1,0
IDU025,61,274,0,0
IDU025,62,386,1,0
IDU025,63,-1,1,0
IDU025,64,281,1,0
IDU025,65,260,1,0
IDU025,66,277,1,0
IDU025,67,-1,1,0
IDU025,68,398,1,0
IDU025,69,-1,1,0
IDU025,70,322,1,0
IDU025,71,331,1,0
IDU025,72,310,0,0
IDU025,73,421,1,0
IDU025,74,327,1,0
IDU025,75,-1,1,0
IDU025,76,361,1,0
IDU025,77,-1,1,0
IDU027,1,637,1,0
IDU027,2,-1,1,0
IDU027,3,327,1,0
IDU027,4,-1,1,0
IDU027,5,388,1,0
IDU027,6,-1,0,0
IDU027,7,460,1,0
IDU027,8,326,1,0
IDU027,9,317,1,0
IDU027,10,-1,1,0
IDU027,11,279,1,0
IDU027,12,294,1,0
IDU027,13,-1,1,0
IDU027,14,337,1,0
IDU027,15,290,1,0
IDU027,16,-1,1,0
IDU027,17,313,1,0
IDU027,18,314,1,0
IDU027,19,337,1,0
IDU027,20,320,1,0
IDU027,21,315,1,0
IDU027,22,362,1,0
IDU027,23,-1,1,0
IDU027,24,328,1,0
IDU027,25,286,1,0
IDU027,26,326,1,0
IDU027,27,320,1,0
IDU027,28,299,1,0
IDU027,29,389,1,0
IDU027,30,-1,1,0
IDU027,31,280,1,0
IDU027,32,307,1,0
IDU027,33,301,1,0
IDU027,34,308,1,0
IDU027,35,-1,1,0
IDU027,36,276,1,0
IDU027,37,-1,1,0
IDU027,38,253,1,0
IDU027,39,-1,1,0
IDU027,40,354,1,0
IDU027,41,-1,1,0
IDU027,42,270,1,0
IDU027,43,356,1,0
IDU027,44,-1,1,0
IDU027,45,269,1,0
IDU027,46,-1,1,0
IDU027,47,266,1,0
IDU027,48,300,1,0
IDU027,49,316,1,0
IDU027,50,-1,1,0
IDU027,51,318,1,0
IDU027,52,340,1,0
IDU027,53,300,1,0
IDU027,54,380,1,0
IDU027,55,303,1,0
IDU027,56,311,1,0
IDU027,57,379,1,0
IDU027,58,315,1,0
IDU027,59,-1,1,0
IDU027,60,327,1,0
IDU027,61,278,1,0
IDU027,62,297,1,0
IDU027,63,647,1,0
IDU027,64,325,1,0
IDU027,65,333,1,0
IDU027,66,280,1,0
IDU027,67,313,1,0
IDU027,68,295,1,0
IDU027,69,-1,1,0
IDU027,70,299,1,0
IDU027,71,270,1,0
IDU027,72,265,1,0
IDU027,73,290,1,0
IDU027,74,334,1,0
IDU027,75,257,1,0
IDU027,76,-1,1,0
IDU027,77,253,1,0
IDU029,1,392,1,0
IDU029,2,386,1,0
IDU029,3,413,1,0
IDU029,4,406,1,0
IDU029,5,380,1,0
IDU029,6,-1,1,0
IDU029,7,441,1,0
IDU029,8,375,1,0
IDU029,9,-1,1,0
IDU029,10,367,1,0
IDU029,11,-1,1,0
IDU029,12,432,1,0
IDU029,13,490,1,0
IDU029,14,465,1,0
IDU029,15,413,1,0
IDU029,16,-1,1,0
IDU029,17,437,1,0
IDU029,18,-1,1,0
IDU029,19,365,1,0
IDU029,20,365,1,0
IDU029,21,361,1,0
IDU029,22,356,1,0
IDU029,23,357,1,0
IDU029,24,331,1,0
IDU029,25,-1,1,0
IDU029,26,406,1,0
IDU029,27,-1,1,0
IDU029,28,414,1,0
IDU029,29,-1,1,0
IDU029,30,341,1,0
IDU029,31,-1,1,0
IDU029,32,415,1,0
IDU029,33,454,1,0
IDU029,34,-1,1,0
IDU029,35,410,1,0
IDU029,36,-1,1,0
IDU029,37,405,1,0
IDU029,38,374,1,0
IDU029,39,-1,1,0
IDU029,40,330,1,0
IDU029,41,475,1,0
IDU029,42,343,1,0
IDU029,43,334,1,0
IDU029,44,349,1,0
IDU029,45,-1,1,0
IDU029,46,370,1,0
IDU029,47,417,1,0
IDU029,48,379,1,0
IDU029,49,-1,1,0
IDU029,50,307,1,0
IDU029,51,311,1,0
IDU029,52,343,1,0
IDU029,53,343,1,0
IDU029,54,382,1,0
IDU029,55,335,1,0
IDU029,56,328,1,0
IDU029,57,384,1,0
IDU029,58,396,1,0
IDU029,59,366,1,0
IDU029,60,356,1,0
IDU029,61,382,1,0
IDU029,62,379,1,0
IDU029,63,-1,1,0
IDU029,64,437,1,0
IDU029,65,363,1,0
IDU029,66,358,1,0
IDU029,67,611,1,0
IDU029,68,324,1,0
IDU029,69,359,1,0
IDU029,70,327,1,0
IDU029,71,-1,1,0
IDU029,72,397,1,0
IDU029,73,374,1,0
IDU029,74,-1,1,0
IDU029,75,317,1,0
IDU029,76,330,1,0
IDU029,77,319,1,0
IDU031,1,321,1,0
IDU031,2,-1,1,0
IDU031,3,295,1,0
IDU031,4,567,1,0
IDU031,5,-1,1,0
IDU031,6,306,1,0
IDU031,7,-1,1,0
IDU031,8,304,1,0
IDU031,9,414,1,0
IDU031,10,362,1,0
IDU031,11,405,1,0
IDU031,12,-1,1,0
IDU031,13,250,1,0
IDU031,14,322,1,0
IDU031,15,371,1,0
IDU031,16,-1,1,0
IDU031,17,268,1,0
IDU031,18,296,1,0
IDU031,19,305,1,0
IDU031,20,409,1,0
IDU031,21,338,1,0
IDU031,22,-1,1,0
IDU031,23,291,1,0
IDU031,24,304,1,0
IDU031,25,275,1,0
IDU031,26,297,1,0
IDU031,27,324,1,0
IDU031,28,327,1,0
